Project_ID,project_name,category,department,contractor,ward_id,start_date,end_date,budget_sanctioned,budget_released,budget_used,status
PRJ00001,Anganwadi Renovation - Phase 2 (Tagore Garden) [001],Education,Municipal Corp,Maa Works & Sons,W08,07-12-2025,16-07-2026,14317444,8626244,7352476,Running
PRJ00002,Street Patrol Support - Phase 2 (Anand Vihar) [002],Police,Police Dept,Sai Contracting Co.,W24,03-03-2024,20-08-2024,9251366,6637491,4470070,Pending
PRJ00003,Health Camp Program - Phase 2 (Jai Hind Puram) [003],Healthcare,Municipal Corp,Green Infra LLP,W17,20-07-2025,06-07-2026,17900805,12382435,7631405,Pending
PRJ00004,Storm Drain Repair - Phase 1 (Patel Nagar) [004],Infrastructure,PWD,Prime Constructions Pvt Ltd,W14,31-07-2024,01-09-2025,7636743,7348995,4168750,Pending
PRJ00005,Storm Drain Repair - Phase 2 (Anand Vihar) [005],Infrastructure,Municipal Corp,Sai Contracting & Sons,W24,21-03-2025,24-08-2025,13613849,13613423,13317867,Completed
PRJ00006,Community Prayer Hall Repair - Phase 2 (Malviya Nagar) [006],Religious,Municipal Corp,Urban Contracting LLP,W15,16-09-2025,30-07-2026,13650896,12406763,8319819,Running
PRJ00007,Ambulance Service Setup - Phase 1 (Gandhi Colony) [007],Healthcare,Health Dept,Maa Developers Group,W02,17-06-2024,01-12-2024,10811050,8847229,5869433,Running
PRJ00008,Street Light Upgrade - Phase 1 (Mayur Vihar) [008],Infrastructure,PWD,Prime Constructions & Sons,W25,14-06-2024,07-08-2025,12370198,8876794,6177050,Running
PRJ00009,CCTV Installation - Phase 3 (Green Park) [009],Police,Police Dept,National Works Group,W19,05-08-2025,21-05-2026,18033959,13001609,8779005,Running
PRJ00010,Ashram Drinking Water Facility - Phase 1 (Tagore Garden) [010],Religious,Municipal Corp,Green Projects & Sons,W08,12-11-2024,12-02-2025,3837967,3303708,2472803,Running
PRJ00011,Ambulance Service Setup - Phase 3 (Malviya Nagar) [011],Healthcare,Health Dept,Om Builders Pvt Ltd,W15,10-06-2024,30-09-2024,6059519,5562973,3281363,Pending
PRJ00012,Toilet Block Construction - Phase 3 (Seemapuri) [012],Education,Municipal Corp,Om Projects Pvt Ltd,W23,24-04-2025,27-05-2026,16520717,11768992,10145841,Completed
PRJ00013,Gurudwara Renovation - Phase 3 (Tilak Nagar) [013],Religious,Municipal Corp,Green Infra LLP,W16,19-06-2025,06-08-2025,15199458,11192491,7738958,Running
PRJ00014,Fogging Drive - Phase 2 (Green Park) [014],Healthcare,Municipal Corp,Royal Works & Sons,W19,18-04-2024,17-01-2025,4489477,4291553,3853169,Completed
PRJ00015,Storm Drain Repair - Phase 3 (Saraswati Park) [015],Infrastructure,PWD,Green Projects LLP,W06,29-10-2024,24-05-2025,9627517,7406669,6494943,Completed
PRJ00016,Gurudwara Renovation - Phase 1 (Nehru Vihar) [016],Religious,Municipal Corp,Metro Projects Pvt Ltd,W03,24-10-2024,06-02-2025,12486041,12147361,8203114,Pending
PRJ00017,Gurudwara Renovation - Phase 3 (Ambedkar Nagar) [017],Religious,Municipal Corp,Urban Builders LLP,W12,01-01-2025,28-01-2026,6325198,3853327,3767748,Completed
PRJ00018,Desilting Drive - Phase 1 (Rajendra Nagar) [018],Infrastructure,Municipal Corp,Metro Developers Group,W10,30-12-2024,27-05-2025,11674597,7626100,5228773,Running
PRJ00019,Gurudwara Renovation - Phase 1 (Kalyanpuri) [019],Religious,Municipal Corp,Royal Enterprises LLP,W22,24-03-2024,27-03-2025,9238706,6596637,6024615,Completed
PRJ00020,Market Shed Repair - Phase 2 (Model Town) [020],Market,PWD,Green Developers Group,W20,02-02-2024,28-01-2025,9954307,8546383,6040208,Running
PRJ00021,Fogging Drive - Phase 3 (Mayur Vihar) [021],Healthcare,Municipal Corp,Prime Constructions Co.,W25,11-08-2025,03-04-2026,10801276,8206551,8017071,Completed
PRJ00022,Market Shed Repair - Phase 3 (Kalyanpuri) [022],Market,Municipal Corp,Maa Developers LLP,W22,11-12-2024,13-02-2025,1401281,1028251,672860,Running
PRJ00023,Waste Segregation Unit - Phase 3 (Seemapuri) [023],Market,PWD,Maa Builders Group,W23,08-07-2025,25-10-2025,12085761,10642851,6474255,Running
PRJ00024,Drain Cleaning Near Market - Phase 2 (Lajpat Enclave) [024],Market,Municipal Corp,Sai Projects & Sons,W04,01-01-2024,27-12-2024,16780412,13814260,12376599,Completed
PRJ00025,Footpath Repair - Phase 3 (Tagore Garden) [025],Infrastructure,Municipal Corp,Shree Enterprises Co.,W08,01-09-2025,28-04-2026,11141096,10903225,7492056,Running
PRJ00026,Market Shed Repair - Phase 1 (Indira Chowk) [026],Market,PWD,Maa Builders Group,W11,30-06-2024,04-04-2025,13682459,11928161,9819750,Running
PRJ00027,Road Resurfacing - Phase 3 (Mayur Vihar) [027],Infrastructure,PWD,Om Constructions Pvt Ltd,W25,05-12-2025,15-07-2026,9934583,6018805,4588021,Running
PRJ00028,Skill Training Centre - Phase 3 (Mayur Vihar) [028],Welfare,Municipal Corp,Prime Infra Group,W25,08-05-2025,01-11-2025,15851110,13537082,8918247,Pending
PRJ00029,CCTV Installation - Phase 3 (Anand Vihar) [029],Police,Police Dept,National Works & Sons,W24,09-12-2025,09-09-2026,17215069,16019290,9742701,Running
PRJ00030,Storm Drain Repair - Phase 3 (Seemapuri) [030],Infrastructure,PWD,Prime Contracting Co.,W23,04-01-2024,24-03-2024,3012469,1829218,1118316,Pending
PRJ00031,Street Light Upgrade - Phase 1 (Seemapuri) [031],Infrastructure,Municipal Corp,Urban Contracting Co.,W23,27-02-2025,09-03-2026,19202133,17944153,8988829,Pending
PRJ00032,Street Light Upgrade - Phase 1 (Gandhi Colony) [032],Infrastructure,Municipal Corp,Maa Builders LLP,W02,29-09-2025,18-11-2025,16801460,15565013,14403764,Completed
PRJ00033,Ashram Drinking Water Facility - Phase 3 (Sadar Bazaar) [033],Religious,Municipal Corp,Urban Builders Co.,W18,16-09-2025,24-08-2026,6512363,5775781,4297848,Running
PRJ00034,Fogging Drive - Phase 2 (Sadar Bazaar) [034],Healthcare,Health Dept,Royal Enterprises Group,W18,06-04-2025,13-06-2025,1907760,1426719,1349734,Completed
PRJ00035,Open Gym Setup - Phase 1 (Gandhi Colony) [035],Sports,Sports Authority,Urban Enterprises & Sons,W02,19-11-2025,04-05-2026,19762328,12311234,8543846,Running
PRJ00036,Clinic Upgrade - Phase 2 (Shastri Nagar) [036],Healthcare,Health Dept,Green Works Pvt Ltd,W01,05-04-2024,28-05-2024,8575406,8333900,5353312,Pending
PRJ00037,Fogging Drive - Phase 2 (Mayur Vihar) [037],Healthcare,Municipal Corp,Om Developers & Sons,W25,07-02-2025,24-03-2025,17257548,12152544,11606459,Completed
PRJ00038,Women Help Desk Setup - Phase 1 (Mayur Vihar) [038],Police,PWD,Metro Builders & Sons,W25,02-09-2024,22-07-2025,13759946,10177884,8019706,Running
PRJ00039,Sports Lighting - Phase 1 (Mayur Vihar) [039],Sports,Municipal Corp,Urban Builders & Sons,W25,16-01-2024,02-05-2024,15394156,13454918,9974740,Running
PRJ00040,Footpath Repair - Phase 3 (Tagore Garden) [040],Infrastructure,PWD,Green Builders Group,W08,17-11-2024,01-04-2025,3342600,2760616,1959537,Running
PRJ00041,Street Light Upgrade - Phase 1 (Civil Lines) [041],Infrastructure,PWD,National Works & Sons,W21,22-12-2024,19-10-2025,4889125,3055399,2147051,Running
PRJ00042,Temple Approach Road - Phase 2 (Mayur Vihar) [042],Religious,Municipal Corp,Royal Infra & Sons,W25,29-05-2025,06-09-2025,14491854,11082989,6588659,Pending
PRJ00043,Road Resurfacing - Phase 1 (Kalyanpuri) [043],Infrastructure,Municipal Corp,National Constructions Pvt Ltd,W22,24-11-2025,15-01-2026,1430357,1131259,991846,Running
PRJ00044,Desilting Drive - Phase 1 (Tagore Garden) [044],Infrastructure,PWD,Maa Engineers & Sons,W08,06-05-2025,30-06-2025,7824262,5850967,5733110,Completed
PRJ00045,Gurudwara Renovation - Phase 3 (Civil Lines) [045],Religious,Municipal Corp,Shree Constructions & Sons,W21,08-11-2025,16-01-2026,7892942,5489176,3328848,Running
PRJ00046,Temple Approach Road - Phase 3 (Sadar Bazaar) [046],Religious,Municipal Corp,Urban Infra Pvt Ltd,W18,08-12-2024,11-01-2026,7750634,5295206,4731895,Completed
PRJ00047,School Boundary Wall - Phase 3 (Saraswati Park) [047],Education,Municipal Corp,Om Builders & Sons,W06,03-01-2024,05-02-2025,2584929,1860971,1224415,Pending
PRJ00048,Drain Cleaning Near Market - Phase 3 (Saraswati Park) [048],Market,PWD,Prime Projects Pvt Ltd,W06,17-02-2024,23-02-2025,11114769,8817161,8332481,Completed
PRJ00049,Open Gym Setup - Phase 2 (Nehru Vihar) [049],Sports,Sports Authority,Metro Contracting LLP,W03,15-12-2025,09-03-2026,12427158,12047027,10891097,Completed
PRJ00050,Street Light Upgrade - Phase 2 (Gandhi Colony) [050],Infrastructure,Municipal Corp,Metro Developers Pvt Ltd,W02,02-11-2024,12-07-2025,12935427,10582556,9904691,Completed
PRJ00051,Ashram Drinking Water Facility - Phase 1 (Kalyanpuri) [051],Religious,Municipal Corp,Maa Infra & Sons,W22,04-07-2025,07-09-2025,6511820,6436081,4695512,Running
PRJ00052,Gurudwara Renovation - Phase 2 (Rajendra Nagar) [052],Religious,Municipal Corp,Maa Enterprises & Sons,W10,14-01-2025,18-08-2025,7192083,4807558,4021354,Running
PRJ00053,Storm Drain Repair - Phase 3 (Vivek Vihar) [053],Infrastructure,PWD,Metro Works & Sons,W07,07-04-2025,30-03-2026,6002589,4300170,3848379,Completed
PRJ00054,Police Post Construction - Phase 3 (Civil Lines) [054],Police,PWD,Shree Enterprises Group,W21,03-01-2025,09-02-2025,13295886,10029573,8881433,Completed
PRJ00055,Street Light Upgrade - Phase 2 (Lajpat Enclave) [055],Infrastructure,Municipal Corp,National Contracting & Sons,W04,17-07-2025,14-02-2026,7249514,5623002,5067712,Completed
PRJ00056,Ambulance Service Setup - Phase 1 (Ambedkar Nagar) [056],Healthcare,Health Dept,Royal Developers LLP,W12,22-05-2025,30-12-2025,9450677,9146198,6986140,Running
PRJ00057,Community Prayer Hall Repair - Phase 1 (Vivek Vihar) [057],Religious,Municipal Corp,Om Constructions Group,W07,22-01-2024,25-02-2025,12833480,11719379,10234176,Completed
PRJ00058,Ashram Drinking Water Facility - Phase 3 (Tilak Nagar) [058],Religious,Municipal Corp,Metro Contracting Co.,W16,11-05-2025,31-07-2025,8697757,5553164,3433880,Running
PRJ00059,Toilet Block Construction - Phase 1 (Tagore Garden) [059],Education,Education Dept,Green Projects & Sons,W08,18-08-2024,22-01-2025,15065799,10044157,6716419,Running
PRJ00060,Police Post Construction - Phase 3 (Tilak Nagar) [060],Police,PWD,Maa Works & Sons,W16,05-08-2025,01-03-2026,18266396,13798033,7874268,Pending
PRJ00061,Market Shed Repair - Phase 3 (Subhash Nagar) [061],Market,Municipal Corp,Green Developers Group,W13,13-11-2025,14-08-2026,15930714,11530671,6876477,Pending
PRJ00062,Community Sports Tournament - Phase 2 (Gandhi Colony) [062],Sports,Sports Authority,Royal Contracting & Sons,W02,13-03-2025,19-02-2026,9508686,8429628,7417923,Running
PRJ00063,Sports Lighting - Phase 1 (Ashok Nagar) [063],Sports,Municipal Corp,Shree Constructions Group,W09,22-02-2024,16-02-2025,9134386,9096392,7790326,Completed
PRJ00064,Footpath Repair - Phase 1 (Tagore Garden) [064],Infrastructure,Municipal Corp,National Engineers LLP,W08,23-11-2024,20-04-2025,13134718,8257226,5837164,Running
